id, name, birth_loc, pocc, marriage, lastname
10057,Salisbury John B,,,,John
10058,Salkeld Joseph,,,,Joseph
10063,Salmon Nathaniel,,,,Nathaniel
10071,Saltwell George,London,,,George
10079,Sampson John,,,,John
10081,Sampson John Brook,St Andrew's Undershaft London,,,John
10084,Sampson Peter,,,,Peter
10087,Samson Henry Morse,,,,Henry
10097,Sanders Thomas,Henley Oxon,,m 11 Dec 1796 Calcutta= Rosetta Fortunata Valle,Thomas
10107,Sandilands James,Mid Calder Midlothian,capt,,James
10115,Sandys John,,,,John
10116,Sandys Thomas,Graythwaite Hall Hawkshead Lanes,,,Thomas
10131,Saris John,,,m c1615 Anne dau of William Meggs of Whitechapel (she d without issue 21 Feb 1623= bur St Botolph Thames St); moved to Church Row= Fulham= c1629 d there 11 Dec 1643= bur 19 Dec Fulham parish church,John
10137,Saunders David,,,,David
10138,Saunders James,,,,James
10140,Saunders Leyston,,,,Leyston
10141,Saunders Richard,,,,Richard
10146,Savage Augustus,,,,Augustus
10156,Sax Thomas,,,,Thomas
10198,Scott Francis,England,,,Francis
10199,Scott George,Scotland,,,George
10201,Scott Hugh,Lassuden St Boswell Roxburghs,,,Hugh
10213,Scott John,England,,,John
10222,Scott Robert,,,,Robert
10231,Scott Robert,,,,Robert
10235,Scott Thomas,,,,Thomas
10236,Scott William,,,,William
10260,Seale David,,,,David
10268,Sealy John,,,,John
10270,Seaman Edward or Edmund,,,,Edward
10287,Sedgwick William,,,,William
10302,Serle Samuel,St Thomas's Winchester,,,Samuel
10307,Sever William Crofton,,,,William
10343,Sharpe John,,,,John
10347,Sharpeigh Alexander,,,,Alexander
10366,Shea Charles,Stoke Damerel Devon,,m 10 Nov 1812 Greenwich= Anna Maria Boxley,Charles
10373,Sheen C H,,,,C
10381,Shepheard John,,,,John
10384,Shepheard John,,,,John
10386,Shephard Richard,,,,
10392,Shepherd or Sheppard Thomas,,,,or
10419,Sherwood John,St Nicholas's Galway,,,John
10421,Shettler Robert Brown,,,,Robert
10428,Shilling Andrew,,,,Andrew
10446,Short John,,,,John
10447,Short Joseph,,,,Joseph
10457,Shuter Richard,,,,Richard
10482,Simmons George,,,,George
10494,Simpson F,,,,F
10495,Simson,,,,
10497,Simpson George,Scotland,merchant,m 28 Jul 1792 Clifton= Glos= Theodosia Collier Charles bap 6 Nov 1799 Mary Ann b 30 Apr 1802,George
10521,Simter James,,,,James
10523,Sinclair Alexander,,,,Alexander
10562,Skottowe John,England,,,John
10564,Skottowe Nicholas,,,,Nicholas
10567,Slade James,,,,James
10568,Slade John,,,,John
10575,Slater Gilbert,,,,Gilbert
10587,Smales Thomas,St Katherine_by_the_Tower London,,,Thomas
10588,Small Charles,,,,Charles
10589,Small Daniel,,,,Daniel
10602,Smedley Henry,Whales,,,Henry
10626,Smith George,,,,George
10648,Smith Joazen,,,,Joazen
10650,Smith John,,,,John
10658,Smith John,,,,John
10675,Smith Joseph,Scotland,,,Joseph
10677,Smith Joseph,Scotland,,,Joseph
10679,Smith Kennard,,,,Kennard
10680,Smith Kennard,,,,Kennard
10686,Smith Nathaniel,,Capt of St Giles Cripplegate London,m 4 Nov 1764 Hester dau of George Dance= architect,Nathaniel
10700,Smith Samuel,,,,Samuel
10711,Smith Thomas,,,,Thomas
10715,Smith Timothy,St Marylebone London,,m 2 Jun 1821 Edmonton= Middx= Sarah Down Hammond= Sarah Mary Ann b 5 Mar 1822= Henry Hammond b 13 May 1824= Mary Pauline b 24 Jul 1827= William Joseph b 8 Apr 1829= Arthur b 15 Apr 1831= Anna b 10 Apr 1832,Timothy
10718,Smith William,Ireland,,,William
10721,Smith William,Ireland,,,William
10736,Smyth Edmund,,,,Edmund
10756,Snow Raymond,,,,Raymond
10768,Sommers Jonathan,,,,Jonathan
10769,Sotheby John Barnett,Woodford Bridge Essex,,,John
10772,South Thomas,,,,Thomas
10781,Spaight Arthur,,,,Arthur
10791,Sparrow Matthew,,,,Matthew
10818,Spens Nathaniel,Scotland,,,Nathaniel
10834,Spottiswoode Robert,Edinburgh,,,Robert
10853,Stacey Edmund,,,,Edmund
10859,Stainforth George,,,,George
10865,Stamp Ralph,,,,Ralph
10870,Stanes Francis,,,,Francis
10879,Stanton Joseph,Stroud Glos,,,Joseph
10895,Steel Graham,,,,Graham
10906,Stephens George,St Bartholomew Exchange London,,,George
10911,Stephens or Stevens Thomas,,,,or
10913,Stephens or Stevens William,,,,or
10918,Stephenson Thomas,,,,Thomas
10925,Stevens George,St Augustine's pa Somerset,,,George
10927,Stephens or Stevens John,,,,or
10930,Stephens or Stevens John,,,,or
10953,Steward Charles,Protestant Congregation Yarmouth,merchant,,Charles
10954,Steward Francis,,,,Francis
10958,Steward Gabriel,,,,Gabriel
10959,Steward Gabriel,,,,Gabriel
10968,Stewart Alexander,,,,Alexander
10975,Stewart Charles,Scotland,,m 1 Aug 1812 Wolverhampton= Ann Willim Ann b 11 Jun 1813,Charles
10979,Stewart Francis,,,,Francis
10995,Stewart James,Clechpoldich Perthshire,,m 6 Mar 1794 Watford= Herts= Elizabeth Bache,James
11001,Stewart John,Scotland,,,John
11005,Stewart John,Scotland,,,John
11033,Stirling Alexander,,,,Alexander
11043,Stokes James,,,,James
11045,Stokes Peter,,,,Peter
11050,Stokoe William,Acomnr Hexham Northumberland,,,William
11066,Storey William,,,,William
11077,Stout Benjamin,,,,Benjamin
11087,Stranack James,,,,James
11113,Strover John,England,,,John
11114,Strutton Richard,,,,Richard
11128,Studd Edward,Westerfield Suffolk,,,Edward
11129,Studd John Lynch,,,,John
11132,Studholm William,,,,William
11139,Sturrock Henry,Ballamaney co Antrim,,,Henry
11141,Style Roger,,,,Roger
11155,Sumner John,,,,John
11158,Surflen Thomas,,,,Thomas
11169,Sutton David,St Mary the Virgin Dover,,,David
11170,Sutton David,St Mary the Virgin Dover,,,David
11173,Sutton John,,,,John
11180,Swan Richard,,,,Richard
11186,Swanley George,,,,George
11187,Swanley Richard,,,,Richard
11192,Swanston R,,,,R
11199,Swete Jasper,Ireland,,,Jasper
11203,Swinton Archilbald Francis William,,,,
11217,Symonds John,,,,John
11230,Talbert James,,,,James
11231,Talbot William,,,,William
11236,Tanner Nathaniel,,,,Nathaniel
11242,Tarbutt Charles Bryan,Allhallows Barking London,,,Charles
11295,Taylor Robert,,,,Robert
11298,Taylor Thomas,,,,Thomas
11309,Taylor Thomas Rumbold,Kendal,esq,,Thomas
11319,Tebutt Charles,England,,,Charles
11321,Tedd John,,,,John
11325,Telfer John Alexander,Broughton Edinburgh,,,John
11334,Templer Henry,Clyst Honiton Devon,,,Henry
11337,Tennant James,,,,James
11339,Tennent George,Carrickfergus co Antrim,,,George
11343,Terrell _?_,,,,_?_
11355,Thelwall Richard,,,,Richard
11362,Thomas George,,,,George
11365,Thomas Honoritus Leigh,St Asaph Flints,surgeon,,Honoritus
11382,Thomas Thomas,,,,Thomas
11387,Thomas William,,,,William
11389,Thomason William,,,,William
11399,Thompson Ebenezer,,,,Ebenezer
11405,Thompson Henry,England,,,Henry
11444,Thomson or Thompson David,,,,or
11445,Thomson George,,,,George
11455,Thompson John,Cumberland,,,John
11474,Thornhill Robert,,,,Robert
11482,Thorowgood Francis,,,,Francis
11494,Thwaites Josiah,,,,Josiah
11496,Ticehurst William,Battle Sussex,,m 30 Jul 1825 Chelmsford= Essex= Sarah Darby= Sarah Ann b 16 May 1826 Augusta bap 30 Mar 1828 William Duke Tiddb 25 Dec 1829 Lewis Frederick bap 25 Jul 1834,William
11501,Tiddeman Edward,,,,Edward
11520,Timbrell James,St Paul's Shadwell London,mariner,m 27 Sep 1810 Bombay= Harriet Armstrong= Elizabeth Winterton b 5 Oct 1811= William b 3 Feb 1813= Harriet b 2 Mar 1814 Ellen b 11 Oct 1816,James
11521,Timbrell Thomas,,,,Thomas
11526,Timins Charles Sheldon,Chatham Kent,,,Charles
11528,Timins John Fam,Chatham Kent,,,John
11531,Tindall Robert,,,,Robert
11546,Tod Alexander,,,,Alexander
11547,Tod James,,,,James
11555,Todd Thomas,Temple Church London,,,Thomas
11559,Tolme David,England,,,David
11562,Tolson Joseph,,,,Joseph
11563,Thoson Thomas,,,,Thomas
11588,Torin Robert,Throgmorton St London,,,Robert
11595,Totten John,,,,John
11600,Toussaint Jeremiah Richard James,St James' Piccadilly London,,,Jeremiah
11604,Tovey Zachariah,,,,
11610,Towerson Gabriel,,,,Gabriel
11614,Townsend Augustus,,,,Augustus
11628,Tracey Jonas,,,,Jonas
11641,Tremenheere Henry Pendarves,Penzance,,,Henry
11670,Tryon William,,,,William
11685,Tullis William,,,,William
11692,Turnbull Alexander,,,,Alexander
11713,Turner Nathaniel,St Bride's London,,,Nathaniel
11729,Tweedale James,Montrose,,,James
11730,Tweedy George Henry,,,,George
11732,Tween John Arman,Ware Herts,,,John
11745,Tyrell Henry,,,,Henry
11749,Tyrie John,,,,John
11772,Upton William,,,,William
11776,Urmston James,,,,James
11784,Utber John,,,,John
11789,Uvedale Henry,,,,Henry
11808,Vaughan William,,,,William
11820,Veitch Robert,,,,Robert
11821,Venner Corbyn Morris,Canongate Edinburgh,,,Corbyn
11823,Venner John,,,,John
11841,Vincent Frederick,,,,Frederick
11856,Vyvyan Abel,St Columb Cornwall,,,Abel
11858,Waddell John,,,,John
11861,Wade William,,,,William
11862,Wadham= Thomas,,,,
11864,Waghorn= Martin,,,,
11872,Wakefield Thomas,,,,Thomas
11874,Wakeman Henry,,,,Henry
11909,Walker James,,,,James
11924,Walker Thomas,,,,Thomas
11925,Walker Thomas,,,,Thomas
11940,Wall Thomas,England,,,Thomas
11949,Wallace William,,,,William
11976,Walpole Richard,,,,Richard
11987,Walton Francis,,,,Francis
11994,Ward B,,,,B
11997,Ward David James,Bengal,,,David
11998,Ward Edward,,,,Edward
12003,Ward James,,,,James
12014,Ward= Thomas Erasmus,,,,
12027,Wardlaw Robert,Kilconquhar East Fife,capt,,Robert
12036,Waring William,,,,William
12040,Warner Richard,,,,Richard
12042,Wanner Thomas,,,,
12116,Watson William,,,,William
12127,Watts Henry,,,,Henry
12132,Watts Thomas,,,,Thomas
12139,Wauchope William,,,,William
12141,Waugh George,,,,George
12143,Way Benjamin,,,,Benjamin
12152,Weathrall M T,,,,M
12155,Webb Daniel,,,,Daniel
12160,Webb John,,,,John
12162,Webb Nicholas,,,,Nicholas
12169,Webber William jun,,,,William
12170,Webber William jun,,,,William
12173,Webster Benjamin,,,,Benjamin
12183,Weddell John,,,,John
12184,Wedderburn Peter,Inveresk East Lothian,,,Peter
12185,Wedgbrough John,,,,John
12198,Welch David,,,,David
12212,Wellbank or Welbank Robert,St Botolph Bishopsgate London,,,or
12213,Wellbank Thomas sen,,,,Thomas
12216,Weller Charles,St Paul's Deptford Kent,malster,,Charles
12229,Wells William,,,,William
12230,Wells William,,,,William
12238,Welstead George,St Mary Whitechapel London,,,George
12240,Weltden George,St Petersburg Russia,,,George
12258,West James,,,,James
12268,Westcott George jun,,,,George
12271,Westerbane William,,,,William
12279,Weston William,,,,William
12311,Whitaker William,,,,William
12337,White John sen,,,,John
12338,White John jun,,,,John
12348,White Nathaniel,,,,Nathaniel
12352,White Thomas,,,,Thomas
12358,White William Tyron,,,,
12359,Whitehead Walter Horrocks,Preston Lanes,,,Walter
12360,Whitehorne William,,,,William
12361,Whiteman John Clarmont,St Mary Abbotts Kensington,,,John
12369,Whitford Richard,,,,Richard
12381,Whyte or White John Nelson,Philadelphia America,,,or
12385,Wickham James,,,,James
12416,Wilkie David,,,,David
12428,Wilkinson George,,,,George
12429,Wilkinson Henry Richard,Wandsworth Surrey,,,Henry
12442,Wilkinson Thomas Hutton,Yarm Yorks,,,Thomas
12445,Wilkinson William,Stockton co Durham,,,William
12480,Williams John,,,,John
12493,Williams Richard,,,,Richard
12496,Williams Robert,Loughton Essex,capt,,Robert
12498,Williams Stephen,5th,Charminster of Dorset,m Charlotte dau of Rev Sir Hadley d'Oyly= 5th Bart= rector of Wotton & Felixstowe,Stephen
12500,Williams Thomas,England,,,Thomas
12509,Williamson Edward,,,,Edward
12514,Williamson George,Scotland,timber merchant,,George
12516,Williamson James,,,,James
12520,Williamson John James,,,,
12525,Williamson Richard,,,,Richard
12533,Williamson William,,,,William
12546,Wills Edward,,,,Edward
12548,Wills Mathew,,,,Mathew
12552,Willson George,,,,George
12572,Wilson Christopher,,,,Christopher
12576,Wilson Edward,,,,Edward
12586,Wilson Henry,,,,Henry
12588,Wilson Henry,,,,Henry
12594,Wilson James,,,,James
12616,Wilson John Petre,Stoke_next_Guildford Survey,,,John
12618,Wilson Jonathan,,,,Jonathan
12621,Wilson Lestock,England,,,Lestock
12623,Wilson Orlando Hart,,,,Orlando
12634,Wilson Walter,,,,Walter
12635,Wilson William,,,,William
12639,Wilson William,,,,William
12643,Wimble John,,,,John
12667,Winter James,St Paul's Deptford,gent,,James
12673,Winter Nehemiah sen,,,,Nehemiah
12676,Winter Ralph Farr,,,,Ralph
12678,Winter Thomas,,,,Thomas
12679,Winter Thomas,,,,Thomas
12692,Wiseman William,,,,William
12721,Wood George,Sunderland,,,George
12730,Wood John,Greenock Renfrews,,,John
12732,Wood John William,England,,,John
12743,Wood Richard,,,,Richard
12744,Wood Searles,Melton Suffolk,gent,,Searles
12789,Woolmore John,St Mary's Whitechapcl London,,,John
12796,Wordsworth John,St Mary's Cockermouth Cumberland,,,John
12807,Worth Isaac,,,,Isaac
12808,Worth Philip,,,,Philip
12809,Wotton Thomas,,,,Thomas
12827,Wright George,,,,George
12865,Wyche John,,,,John
12867,Wyld Charles,,,,Charles
12872,Wynn John sen,,,,John
12873,Wynn John jun,,,,John
12887,Yates _?_,,,,_?_
12894,Yates Joseph,,,,Joseph
12924,Young James,Berwick_upon_Tweed,,,James
12933,Young John William,Glasgow,,,John
12941,Young Robert,,,,Robert
12948,Young Walter,,,,Walter
12953,Younghusband= William,,,,
